City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
169,Harper,LR,4.375,-7.7169,79.36,86,96,12.01,moderate rain
170,Jaypur,IN,18.85,82.5833,80.19,72,96,9.57,overcast clouds
171,Hasaki,JP,35.7333,140.8333,63.28,76,100,12.86,overcast clouds
172,Severo-Kurilsk,RU,50.6789,156.125,42.89,92,99,7.0,overcast clouds
173,Karratha,AU,-20.7377,116.8463,76.95,74,0,3.85,clear sky
174,Qasigiannguit,GL,68.8193,-51.1922,34.88,69,16,3.2,few clouds
175,Changli,CN,39.7042,119.1506,66.83,56,0,4.72,clear sky
176,Doha,QA,25.2867,51.5333,103.98,12,0,17.27,clear sky
177,Tautira,PF,-17.7333,-149.15,78.84,74,24,9.04,light rain
178,Avera,US,33.194,-82.5271,86.56,42,90,10.71,overcast clouds
179,Bone,DE,51.9669,12.1396,79.29,60,87,7.09,overcast clouds
180,Union,US,40.6334,-74.2663,73.09,77,0,6.91,clear sky
181,Demidov,RU,55.2706,31.515,49.05,90,100,7.61,light rain
182,Dikson,RU,73.5069,80.5464,30.09,73,99,3.06,overcast clouds
183,Goderich,CA,43.7501,-81.7165,73.72,64,100,17.27,overcast clouds
184,Telimele,GN,10.9167,-13.3333,94.06,33,64,7.72,broken clouds
185,Bathsheba,BB,13.2167,-59.5167,86.61,66,20,20.71,few clouds
186,Nakamura,JP,32.9833,132.9333,57.99,93,100,1.41,light rain
187,Thompson,CA,55.7435,-97.8558,32.16,69,100,14.97,overcast clouds
188,Georgetown,MY,5.4112,100.3354,84.15,83,20,5.01,few clouds
189,Fengcheng,CN,40.4536,124.0717,52.99,92,0,2.64,clear sky
190,Saint George,US,37.1041,-113.5841,65.79,16,7,10.0,clear sky
191,Zhezkazgan,KZ,47.8043,67.7144,69.24,28,8,9.48,clear sky
192,Xiamen,CN,24.4798,118.0819,73.45,78,40,2.24,scattered clouds
193,Porto Walter,BR,-8.2686,-72.7439,82.94,42,38,0.87,scattered clouds
194,Esperance,AU,-33.8667,121.9,62.15,72,92,7.7,overcast clouds
195,La Ronge,CA,55.1001,-105.2842,35.85,55,100,17.27,overcast clouds
196,Uyuni,BO,-20.4597,-66.825,47.19,23,29,11.41,scattered clouds
197,Lebowakgomo,ZA,-24.2,29.5,72.5,47,72,8.5,broken clouds
198,Atuona,PF,-9.8,-139.0333,77.38,71,13,10.09,few clouds
199,Churachandpur,IN,24.3333,93.6667,66.29,89,33,1.25,scattered clouds
