City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
183,Lulea,SE,39.27,overcast clouds,65.5842,22.1547,Comfort Hotel Arctic
184,Ascension,US,81.09,clear sky,30.2169,-90.9001,Highland Inn
185,Grindavik,IS,48.15,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
186,Mahebourg,MU,73.69,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
187,Yichang,CN,72.46,overcast clouds,30.7144,111.2847,Gezhouba Hotel
188,Platanos,GR,57.07,clear sky,37.6667,21.6167,Hotel Kronio
189,Jaque,PA,78.22,light rain,7.5175,-78.1703,Aventuras Jaque S.A
190,Huarmey,PE,66.51,overcast clouds,-10.0681,-78.1522,Hotel Miramar
191,Dubbo,AU,60.93,broken clouds,-32.25,148.6167,Quality Inn Dubbo International
192,Andijon,UZ,69.08,overcast clouds,40.7821,72.3442,"Hotel ""Bog'ishamol"""
193,Bambous Virieux,MU,73.65,moderate rain,-20.3428,57.7575,Casa Tia Villa
194,Ancud,CL,54.19,moderate rain,-41.8697,-73.8203,Hotel Arena Gruesa
195,Clyde River,CA,23.23,light snow,70.4692,-68.5914,Qamaq Hotel
196,Wahiawa,US,84.52,broken clouds,21.5028,-158.0236,The Inn At Schofield
197,Dingle,PH,87.35,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
198,Menongue,AO,54.05,clear sky,-14.6585,17.691,Ritz Lauca
199,Fare,PF,80.56,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
200,Ribeira Grande,PT,60.19,broken clouds,38.5167,-28.7,Quinta da Meia Eira
201,Tsimlyansk,RU,47.26,overcast clouds,47.6461,42.1019,Baza Otdykha Chaika
202,Samoded,RU,32.31,overcast clouds,63.6083,40.5111,
203,Arvika,SE,54.21,light rain,59.6553,12.5852,Clarion Collection Hotel Bristol
204,Kenai,US,69.03,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
205,Sept-Iles,CA,49.05,broken clouds,50.2001,-66.3821,Comfort Inn
206,Mayumba,GA,75.7,overcast clouds,-3.432,10.6554,LIKWALE LODGE
207,Bakchar,RU,58.15,clear sky,57.0186,82.0711,Gostinitsa Gostevoy Dom
208,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
209,Kibala,TD,80.55,clear sky,9.1104,18.3463,hotel safari
210,Palmer,US,56.64,scattered clouds,42.1584,-72.3287,Wedgewood Motel
211,Darnah,LY,62.91,broken clouds,32.766999999999996,22.6367,فندق الفردوس
212,Yellowknife,CA,54.12,clear sky,62.456,-114.3525,The Explorer Hotel
213,Tahe,CN,70.63,scattered clouds,52.3333,124.7333,塔河宾馆
214,Tilichiki,RU,39.25,overcast clouds,60.4667,166.1,
215,Puerto Vallarta,MX,71.74,clear sky,20.6204,-105.2307,Sunset Plaza Beach Resort & Spa
216,Sorong,ID,81.28,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
217,Urucara,BR,70.88,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
218,Inirida,CO,70.66,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
219,Tabou,CI,78.46,broken clouds,4.423,-7.3528,hotêl doufoulougou
220,Valreas,FR,62.89,clear sky,44.3837,4.9908,Maison d'Anvers
221,Fairbanks,US,68.49,few clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
222,Gurupi,BR,62.31,broken clouds,-11.7292,-49.0686,Via Norte Hotel
223,Andra,RU,35.37,moderate rain,62.5147,65.8878,"Gostinitsa ""Ob'"""
224,Payson,US,63.45,broken clouds,40.0444,-111.7321,Quality Inn Payson I-15
226,Hamilton,US,70.2,thunderstorm,39.1834,-84.5333,Six Acres Bed & Breakfast
227,Lazaro Cardenas,MX,78.15,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
228,Dukat,RU,34.34,overcast clouds,62.55,155.55,
229,Tuatapere,NZ,43.52,light rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
230,Provideniya,RU,35.71,broken clouds,64.3833,-173.3,
231,Sibolga,ID,83.95,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
232,Puerto Baquerizo Moreno,EC,72.77,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
233,Puri,IN,84.72,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
234,Pevek,RU,32.9,overcast clouds,69.7008,170.3133,Severnoye Zoloto
235,Santiago Del Estero,AR,51.8,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
236,Xuchang,CN,78.67,broken clouds,34.0167,113.8167,Super 8 Hotel
237,Kawalu,ID,81.93,broken clouds,-7.3817,108.2082,West Jontor
238,Hovd,MN,68.02,overcast clouds,48.0056,91.6419,Hotel Khovd
239,Asfi,MA,65.66,overcast clouds,32.2994,-9.2372,Hôtel Abda
240,Buala,SB,85.71,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
